review,rating,date,bank,source,cleaned_review,theme
"Take some note from CBE mobile banking app, it's the best banking app currently take some note and improve ur app . Sometimes u have to learn from the bests",1,2024-08-03,Bank of Abyssinia,Google Play,take some note from cbe mobile banking app its the best banking app currently take some note and improve ur app  sometimes u have to learn from the bests,Other
It's a useless app,1,2024-08-02,Bank of Abyssinia,Google Play,its a useless app,Other
"It's not working as it was , so much need to improve, it was the best but not anymore",2,2024-08-01,Bank of Abyssinia,Google Play,its not working as it was  so much need to improve it was the best but not anymore,Other
Poor network,1,2024-08-01,Bank of Abyssinia,Google Play,poor network,Other
Not yet completely working this App. i don't know when is it will be working properly! Its Sad!!!,1,2024-07-31,Bank of Abyssinia,Google Play,not yet completely working this app i dont know when is it will be working properly its sad,Other
The app does not open sometimes it says coonection issue which i dont have and after it opens it has bugs while using its not smooth to work with please improve it,1,2024-07-31,Bank of Abyssinia,Google Play,the app does not open sometimes it says coonection issue which i dont have and after it opens it has bugs while using its not smooth to work with please improve it,Other
"It's not working totally, what a useless app is it,",1,2024-07-31,Bank of Abyssinia,Google Play,its not working totally what a useless app is it,Other
"This app has become the most troubling every day. It doesn't work. I love the bank, and I hate the app",1,2024-07-31,Bank of Abyssinia,Google Play,this app has become the most troubling every day it doesnt work i love the bank and i hate the app,Other
this is so disappointing app,1,2024-07-31,Bank of Abyssinia,Google Play,this is so disappointing app,Other
Nays,5,2024-07-28,Bank of Abyssinia,Google Play,nays,Other
The worst app,1,2024-07-28,Bank of Abyssinia,Google Play,the worst app,Other
it can't even open and only display error messages,1,2024-07-27,Bank of Abyssinia,Google Play,it cant even open and only display error messages,Other
not active,1,2024-07-27,Bank of Abyssinia,Google Play,not active,Other
To get good quality,5,2024-07-27,Bank of Abyssinia,Google Play,to get good quality,Other
?,1,2024-07-26,Bank of Abyssinia,Google Play,,Other
uselss app dont download,1,2024-07-26,Bank of Abyssinia,Google Play,uselss app dont download,Other
"Is this app fake i try it not working it say please try again later, unable to make transactions what is the purpose of this app . If it is not working delete it",1,2024-07-25,Bank of Abyssinia,Google Play,is this app fake i try it not working it say please try again later unable to make transactions what is the purpose of this app  if it is not working delete it,Other
"This app didn't work. They have a new version (new app) but still not compatible with my Samsung S8+ , which is v.funny.",1,2024-07-25,Bank of Abyssinia,Google Play,this app didnt work they have a new version new app but still not compatible with my samsung s8  which is vfunny,Other
Corrupted and poor app,1,2024-07-24,Bank of Abyssinia,Google Play,corrupted and poor app,Other
When I try to use the application it says 'developer setting should be off' where is the setting to off this play Still doesn't work for me,3,2024-07-24,Bank of Abyssinia,Google Play,when i try to use the application it says developer setting should be off where is the setting to off this play still doesnt work for me,Other
FIX YOUR Apollo!! You guys where the best,1,2024-07-23,Bank of Abyssinia,Google Play,fix your apollo you guys where the best,Other
Always slow and doesn't work on weekends if you are in a rush or a merchant this app is not for you,1,2024-07-23,Bank of Abyssinia,Google Play,always slow and doesnt work on weekends if you are in a rush or a merchant this app is not for you,Other
"It's very difficult to use the user, app,ones dawenload the user can't operate well , no one can help me,",1,2024-07-23,Bank of Abyssinia,Google Play,its very difficult to use the user appones dawenload the user cant operate well  no one can help me,Other
Poor application. It turned off by itself,1,2024-07-23,Bank of Abyssinia,Google Play,poor application it turned off by itself,Other
Allowed,5,2024-07-23,Bank of Abyssinia,Google Play,allowed,Other
It usually crashes and the reason it gives is a problem on internet connection although the internet was fine.,1,2024-07-23,Bank of Abyssinia,Google Play,it usually crashes and the reason it gives is a problem on internet connection although the internet was fine,Other
we want international mobile banking,1,2024-07-22,Bank of Abyssinia,Google Play,we want international mobile banking,Other
"screenshot isn't working, Please modify it",2,2024-07-22,Bank of Abyssinia,Google Play,screenshot isnt working please modify it,Other
Naziriet measho 89160437,1,2024-07-22,Bank of Abyssinia,Google Play,naziriet measho 89160437,Other
Ahmed Mohammed husen,3,2024-07-21,Bank of Abyssinia,Google Play,ahmed mohammed husen,Other
Is not working both this one and apollo did u make it better pls am gonne stop using this bank because of the mobile banking,1,2024-07-19,Bank of Abyssinia,Google Play,is not working both this one and apollo did u make it better pls am gonne stop using this bank because of the mobile banking,Other
I have experiance,5,2024-07-19,Bank of Abyssinia,Google Play,i have experiance,Other
The App is not working on Android 9.1 at all. It shows an error notification and forcefully closes the app. Must be fixed ASAP.,1,2024-07-19,Bank of Abyssinia,Google Play,the app is not working on android 91 at all it shows an error notification and forcefully closes the app must be fixed asap,Other
Crashes very frequently is not stable overall need improvement such a huge bank needs a better app than the current one,1,2024-07-19,Bank of Abyssinia,Google Play,crashes very frequently is not stable overall need improvement such a huge bank needs a better app than the current one,Other
The previous application is much better than this one,1,2024-07-18,Bank of Abyssinia,Google Play,the previous application is much better than this one,Other
"Worst app. It is wise to invest money and you can make it like CBE app. Even the incon has no image. My app has better UI than yours. So, please invest more and hire professional developer companies and improve it.",1,2024-07-18,Bank of Abyssinia,Google Play,worst app it is wise to invest money and you can make it like cbe app even the incon has no image my app has better ui than yours so please invest more and hire professional developer companies and improve it,Other
mal,5,2024-07-16,Bank of Abyssinia,Google Play,mal,Other
It is not working at all,1,2024-07-16,Bank of Abyssinia,Google Play,it is not working at all,Other
The poorest mobile banking survice ever. Only error reports frequently,1,2024-07-16,Bank of Abyssinia,Google Play,the poorest mobile banking survice ever only error reports frequently,Other
The worst banking app,1,2024-07-15,Bank of Abyssinia,Google Play,the worst banking app,Other
The app is constantly crashing and freezing when to send to BOA customers' accounts.,1,2024-07-15,Bank of Abyssinia,Google Play,the app is constantly crashing and freezing when to send to boa customers accounts,Other
No work app,5,2024-07-15,Bank of Abyssinia,Google Play,no work app,Other
Is ok but stop sundenly,5,2024-07-15,Bank of Abyssinia,Google Play,is ok but stop sundenly,Other
experienced,5,2024-07-14,Bank of Abyssinia,Google Play,experienced,Other
Very poor app. Its Always cresh and not compatible,2,2024-07-13,Bank of Abyssinia,Google Play,very poor app its always cresh and not compatible,Other
"It's not functional at all. It keeps saying ""error"". Unable to activate.",1,2024-07-13,Bank of Abyssinia,Google Play,its not functional at all it keeps saying error unable to activate,Other
I can't believe that Abyssinia develop this kind of trash app it have a lot of issues,1,2024-07-13,Bank of Abyssinia,Google Play,i cant believe that abyssinia develop this kind of trash app it have a lot of issues,Other
The new app is very good,5,2024-07-13,Bank of Abyssinia,Google Play,the new app is very good,Other
It's very good but sometimes isn't work probably,5,2024-07-12,Bank of Abyssinia,Google Play,its very good but sometimes isnt work probably,Other
It doesn't work,1,2024-07-12,Bank of Abyssinia,Google Play,it doesnt work,Other
"This is the most stupid app I've seen, why would I turn off developer mode just because you can't make your app secure, this clearly indicates the app has very poor implementation and unskilled developers.. There are a lot of people who need developer option for different reasons. Please for the sake of the bank, fix this thing... Even the most secure international banking apps don't require it. Not to mention the lag and crashes",1,2024-07-12,Bank of Abyssinia,Google Play,this is the most stupid app ive seen why would i turn off developer mode just because you cant make your app secure this clearly indicates the app has very poor implementation and unskilled developers there are a lot of people who need developer option for different reasons please for the sake of the bank fix this thing even the most secure international banking apps dont require it not to mention the lag and crashes,Other
The worst mobile banking app,1,2024-07-11,Bank of Abyssinia,Google Play,the worst mobile banking app,Other
It is not fast,3,2024-07-11,Bank of Abyssinia,Google Play,it is not fast,Other
Useless,1,2024-07-11,Bank of Abyssinia,Google Play,useless,Other
The app keeps crashing it stops responding while I'm using it or trying to open the app. Now I have to go to the bank in person to do any banking activities. In short it is the worst mobile banking system in Ethiopia,1,2024-07-11,Bank of Abyssinia,Google Play,the app keeps crashing it stops responding while im using it or trying to open the app now i have to go to the bank in person to do any banking activities in short it is the worst mobile banking system in ethiopia,Other
Too late!,1,2024-07-10,Bank of Abyssinia,Google Play,too late,Other
No work,5,2024-07-10,Bank of Abyssinia,Google Play,no work,Other
"Pretty good for a banking app, it still lacks some things with in the ui and with the speed of the app but overall it's a good application. Thank you 5/5",5,2024-07-09,Bank of Abyssinia,Google Play,pretty good for a banking app it still lacks some things with in the ui and with the speed of the app but overall its a good application thank you 55,Other
After update it doesn't work well,2,2024-07-09,Bank of Abyssinia,Google Play,after update it doesnt work well,Other
Error occurred try again for 5 days tele birr user not found,1,2024-07-08,Bank of Abyssinia,Google Play,error occurred try again for 5 days tele birr user not found,Other
Good but Very slow.,1,2024-07-08,Bank of Abyssinia,Google Play,good but very slow,Other
Very good app,5,2024-07-07,Bank of Abyssinia,Google Play,very good app,Other
"It is so bad apps ,it doesn't work",1,2024-07-06,Bank of Abyssinia,Google Play,it is so bad apps it doesnt work,Other
"From now on I will never going to use this app,It is a trash app.No one care about this app from bank I will rate them 0/5.",1,2024-07-06,Bank of Abyssinia,Google Play,from now on i will never going to use this appit is a trash appno one care about this app from bank i will rate them 05,Other
It usually crashes and unable to process also it request to off the developer options,1,2024-07-05,Bank of Abyssinia,Google Play,it usually crashes and unable to process also it request to off the developer options,Other
Miliyone.,5,2024-07-05,Bank of Abyssinia,Google Play,miliyone,Other
Workneh girmamo,5,2024-07-05,Bank of Abyssinia,Google Play,workneh girmamo,Other
"I can't believe in this day and age, one of the major banks of the country can't seem to understand that having a working mobile payment option is a **MUST** to survive. I have decided to move my accounts to CBE and Awash because of this. Can't be bothered with this useless app.",1,2024-07-04,Bank of Abyssinia,Google Play,i cant believe in this day and age one of the major banks of the country cant seem to understand that having a working mobile payment option is a must to survive i have decided to move my accounts to cbe and awash because of this cant be bothered with this useless app,Other
Is it even working these days? Please check it.,1,2024-07-04,Bank of Abyssinia,Google Play,is it even working these days please check it,Other
"The app is essentially unusable, it asks to disable developer mode even when it is already disabled and crashes, sometimes it only works with wifi and sometimes only with data, or it crashes just because.......",1,2024-07-04,Bank of Abyssinia,Google Play,the app is essentially unusable it asks to disable developer mode even when it is already disabled and crashes sometimes it only works with wifi and sometimes only with data or it crashes just because,Other
Please make it functional.,5,2024-07-03,Bank of Abyssinia,Google Play,please make it functional,Other
its best app but its don't working in poor connection area so,5,2024-07-03,Bank of Abyssinia,Google Play,its best app but its dont working in poor connection area so,Other
Please Recover thank you,5,2024-07-02,Bank of Abyssinia,Google Play,please recover thank you,Other
This app doesn't work,1,2024-06-30,Bank of Abyssinia,Google Play,this app doesnt work,Other
"the app used to run fine, but now it takes like forever to even open the main dashboard and sometimes it just crashes on its own. you guys gotta step it up. we need this app to be way faster",1,2024-06-27,Bank of Abyssinia,Google Play,the app used to run fine but now it takes like forever to even open the main dashboard and sometimes it just crashes on its own you guys gotta step it up we need this app to be way faster,Other
the underrated app I've ever seen and ur banking system is Soo Idiocracy,1,2024-06-27,Bank of Abyssinia,Google Play,the underrated app ive ever seen and ur banking system is soo idiocracy,Other
It demands to disable developer option.,1,2024-06-27,Bank of Abyssinia,Google Play,it demands to disable developer option,Other
"It's been two months now, I cannot do any transaction using this app. It's really disappointing. I am using bank of Abyssinia currently because it's the nearest bank to my work place. The bank is turning to the worst bank in the country day by day. They always respond to customers that they are updating their system all year long, I think that's what they train their customer service operators to do.",1,2024-06-26,Bank of Abyssinia,Google Play,its been two months now i cannot do any transaction using this app its really disappointing i am using bank of abyssinia currently because its the nearest bank to my work place the bank is turning to the worst bank in the country day by day they always respond to customers that they are updating their system all year long i think thats what they train their customer service operators to do,Other
Open Open service,5,2024-06-26,Bank of Abyssinia,Google Play,open open service,Other
Its not working.,1,2024-06-24,Bank of Abyssinia,Google Play,its not working,Other
"Riddled with crashes, cant use it anymore. Very frustrating!",1,2024-06-20,Bank of Abyssinia,Google Play,riddled with crashes cant use it anymore very frustrating,Other
Always error occured. The worst app ever,1,2024-06-20,Bank of Abyssinia,Google Play,always error occured the worst app ever,Other
App....,1,2024-06-20,Bank of Abyssinia,Google Play,app,Other
Excellent service,5,2024-06-19,Bank of Abyssinia,Google Play,excellent service,Other
It's not convenient,1,2024-06-17,Bank of Abyssinia,Google Play,its not convenient,Other
meskelu Metku,5,2024-06-17,Bank of Abyssinia,Google Play,meskelu metku,Other
Verry nice,5,2024-06-17,Bank of Abyssinia,Google Play,verry nice,Other
It has become the most unreliable mibile banking app ever.,1,2024-06-16,Bank of Abyssinia,Google Play,it has become the most unreliable mibile banking app ever,Other
",  Network",2,2024-06-13,Bank of Abyssinia,Google Play,  network,Other
The poorest mobile banking I have seen in the industry. Is not stable to login and post transactions. Is not attractive. Error reports frequently.,5,2024-06-13,Bank of Abyssinia,Google Play,the poorest mobile banking i have seen in the industry is not stable to login and post transactions is not attractive error reports frequently,Other
Really Bank,5,2024-06-12,Bank of Abyssinia,Google Play,really bank,Other
I like the the bank of Abyssinia is the best first bank of Ethiopia,1,2024-06-11,Bank of Abyssinia,Google Play,i like the the bank of abyssinia is the best first bank of ethiopia,Other
The app is not good need a few work,3,2024-06-11,Bank of Abyssinia,Google Play,the app is not good need a few work,Other
"The worst mob app i have ever seen. Slow, uncomfortable and stupid. It is better to learn from the best app (tele birr). The released updates is even worst.",1,2024-06-11,Bank of Abyssinia,Google Play,the worst mob app i have ever seen slow uncomfortable and stupid it is better to learn from the best app tele birr the released updates is even worst,Other
"Unreliable, expensive service. Most of the time, it is not working. Sometimes, it will take more than a day to complete transactions and charges more for this unworthy service. I will not recommend this bank app to anyone.",1,2024-06-10,Bank of Abyssinia,Google Play,unreliable expensive service most of the time it is not working sometimes it will take more than a day to complete transactions and charges more for this unworthy service i will not recommend this bank app to anyone,Other
You are beutiful,5,2024-06-09,Bank of Abyssinia,Google Play,you are beutiful,Other
The best app,5,2024-06-06,Bank of Abyssinia,Google Play,the best app,Other
Awful,1,2024-06-06,Bank of Abyssinia,Google Play,awful,Other
Developer option to be off really,1,2024-06-06,Bank of Abyssinia,Google Play,developer option to be off really,Other
Good app boa,5,2024-06-06,Bank of Abyssinia,Google Play,good app boa,Other
I'm disappointed with the recent changes to this app. Disabling developer options for functionality seems unnecessary. The previous version offered a more user-friendly experience.,1,2024-06-06,Bank of Abyssinia,Google Play,im disappointed with the recent changes to this app disabling developer options for functionality seems unnecessary the previous version offered a more userfriendly experience,Other
"Worest app, it cannot be downloaded",2,2024-06-05,Bank of Abyssinia,Google Play,worest app it cannot be downloaded,Other
slow only some times the wey it is veary nice app,5,2024-06-05,Bank of Abyssinia,Google Play,slow only some times the wey it is veary nice app,Other
ok yes,5,2024-06-04,Bank of Abyssinia,Google Play,ok yes,Other
It's nice apps,1,2024-06-04,Bank of Abyssinia,Google Play,its nice apps,Other
Wow! what a disgrace for BOA. The app barely works. Too slow and always returns error.,1,2024-06-03,Bank of Abyssinia,Google Play,wow what a disgrace for boa the app barely works too slow and always returns error,Other
Excited by your service,5,2024-06-02,Bank of Abyssinia,Google Play,excited by your service,Other
Kerfafa new,1,2024-06-01,Bank of Abyssinia,Google Play,kerfafa new,Other
ABDU MUDESR,2,2024-06-01,Bank of Abyssinia,Google Play,abdu mudesr,Other
"The worst mobile banking app! It doesn't load (seems like with the perfect WiFi and data connection it still manages to have network issues), when you finally get into the app, it makes it so hard more than it should be to send money.",1,2024-05-31,Bank of Abyssinia,Google Play,the worst mobile banking app it doesnt load seems like with the perfect wifi and data connection it still manages to have network issues when you finally get into the app it makes it so hard more than it should be to send money,Other
It is Good to save time,3,2024-05-31,Bank of Abyssinia,Google Play,it is good to save time,Other
"I'm sorry but what kind of stupid developer thinks the app will be faster if we disable ""Developer mode""? I've never seen such degeneracy in my entire life, please get rid of this feature",1,2024-05-30,Bank of Abyssinia,Google Play,im sorry but what kind of stupid developer thinks the app will be faster if we disable developer mode ive never seen such degeneracy in my entire life please get rid of this feature,Other
What is the purpose or point of not allowing to take a screenshot of the recipe after transferring???,1,2024-05-29,Bank of Abyssinia,Google Play,what is the purpose or point of not allowing to take a screenshot of the recipe after transferring,Other
Ayseram,1,2024-05-28,Bank of Abyssinia,Google Play,ayseram,Other
Worst banking app ever,1,2024-05-28,Bank of Abyssinia,Google Play,worst banking app ever,Other
not bad,1,2024-05-26,Bank of Abyssinia,Google Play,not bad,Other
love,3,2025-06-06,Dashen Bank,Google Play,love,Other
gadaa,5,2025-06-01,Dashen Bank,Google Play,gadaa,Other
Massive upgrade from the Amole app.,5,2025-05-31,Dashen Bank,Google Play,massive upgrade from the amole app,Other
very good for this app,5,2025-05-31,Dashen Bank,Google Play,very good for this app,Other
top,5,2025-05-31,Dashen Bank,Google Play,top,Other
this app better than Amole . but the biometric on new update doesn't work,4,2025-05-31,Dashen Bank,Google Play,this app better than amole  but the biometric on new update doesnt work,Other
wow to it saff and this app,5,2025-05-30,Dashen Bank,Google Play,wow to it saff and this app,Other
it too slow,3,2025-05-29,Dashen Bank,Google Play,it too slow,Other
real life changer,5,2025-05-28,Dashen Bank,Google Play,real life changer,Other
nice application,5,2025-05-27,Dashen Bank,Google Play,nice application,Other
useless app ever loading take long,1,2025-05-27,Dashen Bank,Google Play,useless app ever loading take long,Other
"Game changer app! Dashen Bank Super App is fast, secure, and easy to use. The three-click payment makes sending money super quick, and the QR code payment is perfect for cashless shopping. I also love the biometric login and easy airtime and bill payments. Everything I need is in one place. Dashen Bank has really raised the bar for digital banking in Ethiopia. Highly recommended!",5,2025-05-26,Dashen Bank,Google Play,game changer app dashen bank super app is fast secure and easy to use the threeclick payment makes sending money super quick and the qr code payment is perfect for cashless shopping i also love the biometric login and easy airtime and bill payments everything i need is in one place dashen bank has really raised the bar for digital banking in ethiopia highly recommended,Other
very useful App,1,2025-05-26,Dashen Bank,Google Play,very useful app,Other
"Simple, robust features? Yes, please! But the endless loading screen killed the funI couldnt use it for days. Fix the glitch, and Ill yeet a higher rating!",2,2025-05-26,Dashen Bank,Google Play,simple robust features yes please but the endless loading screen killed the funi couldnt use it for days fix the glitch and ill yeet a higher rating,Other
Wawww,5,2025-05-24,Dashen Bank,Google Play,wawww,Other
it is good but some times says duplicate transaction why?,5,2025-05-24,Dashen Bank,Google Play,it is good but some times says duplicate transaction why,Other
very Nice,5,2025-05-23,Dashen Bank,Google Play,very nice,Other
its best,5,2025-05-23,Dashen Bank,Google Play,its best,Other
it is not as good as to the other mobile bank app.,1,2025-05-22,Dashen Bank,Google Play,it is not as good as to the other mobile bank app,Other
"The best of best is now arrived **Empowering Your Financial Freedom** ""Experience seamless banking at your fingertips with Dashen Bank. Empowering your financial freedom, anytime, anywhere!"" **Innovation Meets Convenience** ""Dashen Bank Mobile Banking: Where innovation meets convenience. **Secure and Reliable** ""Bank with confidence",5,2025-05-22,Dashen Bank,Google Play,the best of best is now arrived empowering your financial freedom experience seamless banking at your fingertips with dashen bank empowering your financial freedom anytime anywhere innovation meets convenience dashen bank mobile banking where innovation meets convenience secure and reliable bank with confidence,Other
Nothing is changed in the updated version. You have been collecting comments but where is the feed back you improved in this version. superapp is mot functioning today.,4,2025-05-20,Dashen Bank,Google Play,nothing is changed in the updated version you have been collecting comments but where is the feed back you improved in this version superapp is mot functioning today,Other
The best app ever in finance sector,5,2025-05-18,Dashen Bank,Google Play,the best app ever in finance sector,Other
Its good app than other compitators but it confuse when we transfer it needs OTP and PIN most user inter their pin instead of OTP we know the litrecy level of our society so if it is device based i dont know the needs of OTP so please try to fix,3,2025-05-18,Dashen Bank,Google Play,its good app than other compitators but it confuse when we transfer it needs otp and pin most user inter their pin instead of otp we know the litrecy level of our society so if it is device based i dont know the needs of otp so please try to fix,Other
dashen bank or dashen super app?,1,2025-05-17,Dashen Bank,Google Play,dashen bank or dashen super app,Other
wowwwe app,5,2025-05-17,Dashen Bank,Google Play,wowwwe app,Other
"Transferring to other bank accounts is a hastle and inconvenient .Get used to seeing "" please try again """,2,2025-05-17,Dashen Bank,Google Play,transferring to other bank accounts is a hastle and inconvenient get used to seeing  please try again ,Other
always lagging,1,2025-05-16,Dashen Bank,Google Play,always lagging,Other
Amazing Application...,5,2025-05-16,Dashen Bank,Google Play,amazing application,Other
"Dashen bank app is very good, but sometimes it is not working well",5,2025-05-15,Dashen Bank,Google Play,dashen bank app is very good but sometimes it is not working well,Other
its my choice,5,2025-05-15,Dashen Bank,Google Play,its my choice,Other
wow apo,5,2025-05-15,Dashen Bank,Google Play,wow apo,Other
awesome app keep going,5,2025-05-14,Dashen Bank,Google Play,awesome app keep going,Other
"It grows ethiopian digital banking step ahead.All fetures in one,simple fast and convince.",5,2025-05-14,Dashen Bank,Google Play,it grows ethiopian digital banking step aheadall fetures in onesimple fast and convince,Other
Game changer,5,2025-05-13,Dashen Bank,Google Play,game changer,Other
Totally amazing,5,2025-05-13,Dashen Bank,Google Play,totally amazing,Other
super,5,2025-05-13,Dashen Bank,Google Play,super,Other
what a helpful app!!!!,5,2025-05-13,Dashen Bank,Google Play,what a helpful app,Other
"To be honest, best banking and lifestyle app in Ethiopia.",5,2025-05-12,Dashen Bank,Google Play,to be honest best banking and lifestyle app in ethiopia,Other
fast,5,2025-05-12,Dashen Bank,Google Play,fast,Other
"A must have, seamless, all in one digital platform ""DB Superapp""! Keep living your motto ""Always one step ahead""",5,2025-05-12,Dashen Bank,Google Play,a must have seamless all in one digital platform db superapp keep living your motto always one step ahead,Other
"This App makes digital banking effortless and convenient. User-friendly interface, secure transactions, and excellent features for managing finances efficiently.",4,2025-05-10,Dashen Bank,Google Play,this app makes digital banking effortless and convenient userfriendly interface secure transactions and excellent features for managing finances efficiently,Other
Amazing app super easy to use and best design. loved it.,5,2025-05-09,Dashen Bank,Google Play,amazing app super easy to use and best design loved it,Other
its the best ever,5,2025-05-09,Dashen Bank,Google Play,its the best ever,Other
excellent game changer App,5,2025-05-08,Dashen Bank,Google Play,excellent game changer app,Other
I am highly excited by using this application and it is the most favorable as well as preferrable mobile app.,5,2025-05-03,Dashen Bank,Google Play,i am highly excited by using this application and it is the most favorable as well as preferrable mobile app,Other
it seems me logging out within minutes,1,2025-05-03,Dashen Bank,Google Play,it seems me logging out within minutes,Other
nice app especially GUI and I have got some error when you send within dashen bank the receipter is not get SMS notification,4,2025-05-03,Dashen Bank,Google Play,nice app especially gui and i have got some error when you send within dashen bank the receipter is not get sms notification,Other
yes i want dashen super open,5,2025-05-02,Dashen Bank,Google Play,yes i want dashen super open,Other
Best App,5,2025-05-02,Dashen Bank,Google Play,best app,Other
faster than this version,5,2025-05-01,Dashen Bank,Google Play,faster than this version,Other
"Best UI mobile banking app, props to design team",5,2025-04-30,Dashen Bank,Google Play,best ui mobile banking app props to design team,Other
bad.,1,2025-04-30,Dashen Bank,Google Play,bad,Other
Dashen bank always one step ahead,5,2025-04-30,Dashen Bank,Google Play,dashen bank always one step ahead,Other
dashen super app is secure band very easy,5,2025-04-29,Dashen Bank,Google Play,dashen super app is secure band very easy,Other
It is very fast and secured mobile banking app! I like this app!,5,2025-04-29,Dashen Bank,Google Play,it is very fast and secured mobile banking app i like this app,Other
best app I have ever seen,5,2025-04-29,Dashen Bank,Google Play,best app i have ever seen,Other
best of best,5,2025-04-29,Dashen Bank,Google Play,best of best,Other
Its slow when i try to see the Recent Transaction and stucked,1,2025-04-28,Dashen Bank,Google Play,its slow when i try to see the recent transaction and stucked,Other
wowslnwoooo wowwww amazing !!!!!!!!,5,2025-04-28,Dashen Bank,Google Play,wowslnwoooo wowwww amazing ,Other
wow appl,5,2025-04-28,Dashen Bank,Google Play,wow appl,Other
why do i have to change a pin number i use my finger print so dummy,1,2025-04-27,Dashen Bank,Google Play,why do i have to change a pin number i use my finger print so dummy,Other
"It is very slow and it lacks many features to be a super app. High rating is given by their employees, not by the customers.",1,2025-04-25,Dashen Bank,Google Play,it is very slow and it lacks many features to be a super app high rating is given by their employees not by the customers,Other
"Smooth and secure experience transfers, bill payments, and tracking expenses are all effortless. The intuitive design makes banking on the go.",5,2025-04-24,Dashen Bank,Google Play,smooth and secure experience transfers bill payments and tracking expenses are all effortless the intuitive design makes banking on the go,Other
Very easy and Fast.,5,2025-04-24,Dashen Bank,Google Play,very easy and fast,Other
Incomparably user-friendly and fast app for mobile banking.,5,2025-04-24,Dashen Bank,Google Play,incomparably userfriendly and fast app for mobile banking,Other
"there is nothing super about this app, repeatedly failed transaction and wastes customer valuable time. if you have to do system upgrade do it at a time when there is less traffic demand. your Technical difficulty should not be reflected on customer.",2,2025-04-24,Dashen Bank,Google Play,there is nothing super about this app repeatedly failed transaction and wastes customer valuable time if you have to do system upgrade do it at a time when there is less traffic demand your technical difficulty should not be reflected on customer,Other
execellent,5,2025-04-24,Dashen Bank,Google Play,execellent,Other
"This super app is a total game-changerfast, reliable, and packed with everything I need in one place. Its seamless and super convenient. Love it!""",5,2025-04-23,Dashen Bank,Google Play,this super app is a total gamechangerfast reliable and packed with everything i need in one place its seamless and super convenient love it,Other
All in One secure reliable convenient. Digital banking game changer!!,5,2025-04-23,Dashen Bank,Google Play,all in one secure reliable convenient digital banking game changer,Other
it is incredible product.,5,2025-04-23,Dashen Bank,Google Play,it is incredible product,Other
"I'm really impressed with this app! Its user-friendly, runs smoothly, and has all the features I need. Makes my tasks so much easier and saves me a lot of time. Highly recommended!",5,2025-04-23,Dashen Bank,Google Play,im really impressed with this app its userfriendly runs smoothly and has all the features i need makes my tasks so much easier and saves me a lot of time highly recommended,Other
"It's an amazing app, experience it!!",5,2025-04-23,Dashen Bank,Google Play,its an amazing app experience it,Other
This is the best banking app ever. I recommend everyone to use it.,5,2025-04-23,Dashen Bank,Google Play,this is the best banking app ever i recommend everyone to use it,Other
It is the best application!!!,5,2025-04-22,Dashen Bank,Google Play,it is the best application,Other
"Exceptional digital experience, SupperApp will bring new paradigm shift in the banking business. Bravo Dashen keep it up!!!!",5,2025-04-22,Dashen Bank,Google Play,exceptional digital experience supperapp will bring new paradigm shift in the banking business bravo dashen keep it up,Other
its features are so dynamic,5,2025-04-22,Dashen Bank,Google Play,its features are so dynamic,Other
fast &Friendly user Application.,5,2025-04-22,Dashen Bank,Google Play,fast friendly user application,Other
"Fast, Reliable and User Friendly. Keep it Up",5,2025-04-22,Dashen Bank,Google Play,fast reliable and user friendly keep it up,Other
"#dashen super app is easy to use, secure & fast transaction",5,2025-04-22,Dashen Bank,Google Play,dashen super app is easy to use secure  fast transaction,Other
i love this app esp 3 click that make e-commerce easier and convinient.,5,2025-04-22,Dashen Bank,Google Play,i love this app esp 3 click that make ecommerce easier and convinient,Other
Dashen Super App contains extended selections for customers and can be easily accessible and also friendly to use.,5,2025-04-22,Dashen Bank,Google Play,dashen super app contains extended selections for customers and can be easily accessible and also friendly to use,Other
Great for everyday banking and payments on the go,5,2025-04-22,Dashen Bank,Google Play,great for everyday banking and payments on the go,Other
"""Dashen Super App'' is impressive with its focus on simplicity, speed, and quality. The user interface is clean and easy to understand. Transactions process quickly, and the overall quality of the app is top-notch. A must-have for Dashen Bank customers.",5,2025-04-22,Dashen Bank,Google Play,dashen super app is impressive with its focus on simplicity speed and quality the user interface is clean and easy to understand transactions process quickly and the overall quality of the app is topnotch a musthave for dashen bank customers,Other
making transactions has never been easier. the new update is just amazing,5,2025-04-22,Dashen Bank,Google Play,making transactions has never been easier the new update is just amazing,Other
"The app has various usefull functions, which make easy the payment system. Also, it will connect with sellers having reasonable prices.",5,2025-04-22,Dashen Bank,Google Play,the app has various usefull functions which make easy the payment system also it will connect with sellers having reasonable prices,Other
The app has great user interface with comprehensive payments and E-commerce platforms. And also it includes unique features such as chat Banking and budget.,5,2025-04-22,Dashen Bank,Google Play,the app has great user interface with comprehensive payments and ecommerce platforms and also it includes unique features such as chat banking and budget,Other
betam mirt Ena betam le atikakem kelel Yale Ena michu application nw,5,2025-04-22,Dashen Bank,Google Play,betam mirt ena betam le atikakem kelel yale ena michu application nw,Other
Convenient!,5,2025-04-22,Dashen Bank,Google Play,convenient,Other
It is an amazing application that meets the needs of customers.,5,2025-04-22,Dashen Bank,Google Play,it is an amazing application that meets the needs of customers,Other
Effecting payment via the app has created convenience to the recipients in easily confirming the payments received!,5,2025-04-22,Dashen Bank,Google Play,effecting payment via the app has created convenience to the recipients in easily confirming the payments received,Other
